time21_5,latitude,longitude,halfAngle,speed,type,isMostAccurate,associatedCMEID,associatedCMEstartTime,note,associatedCMELink,catalog,featureCode,dataLevel,measurementTechnique,imageType,tilt,minorHalfWidth,speedMeasuredAtHeight,submissionTime,versionId,link
2011-04-27T06:25Z,25.0,-57.0,20.0,950.0,C,True,2011-04-27T02:48:00-CME-001,2011-04-27T02:48Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/3042/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T19:43Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3050/-1
2011-04-27T13:34Z,35.0,150.0,30.0,640.0,C,True,2011-04-27T07:48:00-CME-001,2011-04-27T07:48Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/3044/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T19:39Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3045/-1
2011-04-30T10:45Z,-5.0,-105.0,23.0,270.0,S,True,2011-04-29T20:48:00-CME-001,2011-04-29T20:48Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/3039/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T19:35Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3040/-1
2011-05-01T23:20Z,18.0,-65.0,32.0,580.0,C,True,2011-05-01T14:24:00-CME-001,2011-05-01T14:24Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/3028/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T19:25Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3029/-1
2011-05-03T22:40Z,15.0,40.0,31.0,620.0,C,True,2011-05-03T15:54:00-CME-001,2011-05-03T15:54Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/3025/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T19:23Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3026/-1
2011-05-06T13:34Z,22.0,-165.0,69.0,850.0,C,True,2011-05-06T09:25:00-CME-001,2011-05-06T09:25Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/834/-1,M2M_CATALOG,null,0,null,null,,,,2014-07-07T18:49Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3017/-1
2011-05-09T23:44Z,21.0,-68.0,58.0,1300.0,O,True,2011-05-09T21:00:00-CME-001,2011-05-09T21:00Z,Originally submitted on 2013-08-09T19:16Z by Dhanesh Krishnarao. Updated by Jenna Zink on 2014-07-08T14:10Z.,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/839/-1,M2M_CATALOG,null,0,null,direct,,,,2023-10-18T20:41Z,4,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3015/-1
2011-05-10T00:59Z,26.0,-91.0,58.0,776.0,C,True,2011-05-09T21:00:00-CME-001,2011-05-09T21:00Z,"One coronagraph (SOHO) analysis with Stereo CAT tool, based on the location of the associated flare/post-eruptive arcades just behind the NE limb, with active region rotating to the limb in a few hours.",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/839/-1,SEPVAL_CME_CATALOG,LE,1,StereoCAT,running difference,,,,2023-10-18T20:35Z,4,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/27341/-1
2011-05-09T23:54Z,14.0,-91.0,58.0,1232.0,O,True,2011-05-09T21:00:00-CME-001,2011-05-09T21:00Z,"One-coronagraph analysis of the very faint shock of this CME with StereoCAT tool based on the location of the associated flare/post-eruptive arcades just behind the NE limb at the time of the flare, with the active region rotating onto the limb in a few hours.",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/839/-1,SEPVAL_CME_CATALOG,SH,1,StereoCAT,running difference,,,,2023-10-18T20:36Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/27342/-1
2011-05-11T13:00Z,5.0,50.0,33.0,350.0,S,True,2011-05-11T02:48:00-CME-001,2011-05-11T02:48Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/3006/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T19:08Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3007/-1
2011-05-18T22:00Z,-15.0,86.0,25.0,760.0,C,True,2011-05-18T18:54:00-CME-001,2011-05-18T18:54Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/847/-1,M2M_CATALOG,null,0,null,null,,,,2013-07-19T13:51Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/848/-1
2011-05-19T10:35Z,20.0,36.0,20.0,611.0,C,True,2011-05-19T04:36:00-CME-001,2011-05-19T04:36Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2997/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T19:01Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2998/-1
2011-05-25T04:07Z,14.0,117.0,45.0,610.0,C,True,2011-05-24T23:54:00-CME-001,2011-05-24T23:54Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/850/-1,M2M_CATALOG,null,0,null,null,,,,2013-07-19T13:54Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/851/-1
2011-05-29T15:15Z,-5.0,-55.0,38.0,850.0,C,True,2011-05-29T11:30:00-CME-001,2011-05-29T11:30Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/857/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T14:53Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2964/-1
2011-05-30T00:10Z,-5.0,-55.0,40.0,915.0,C,True,2011-05-29T21:30:00-CME-001,2011-05-29T21:30Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/862/-1,M2M_CATALOG,null,0,null,null,,,,2013-07-19T14:06Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/863/-1
2011-06-02T11:25Z,-5.0,-30.0,30.0,950.0,C,True,2011-06-02T07:40:00-CME-001,2011-06-02T07:40Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/865/-1,M2M_CATALOG,null,0,null,null,,,,2013-07-19T14:08Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/866/-1
2011-06-04T09:50Z,25.0,117.0,40.0,1050.0,O,True,2011-06-04T07:09:00-CME-001,2011-06-04T07:09Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/871/-1,M2M_CATALOG,null,0,null,null,,,,2013-07-19T14:14Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/872/-1
2011-06-04T23:15Z,16.0,140.0,60.0,2500.0,R,True,2011-06-04T22:09:00-CME-001,2011-06-04T22:09Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/880/-1,M2M_CATALOG,null,0,null,null,,,,2013-07-19T14:23Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/881/-1
2011-06-05T12:16Z,35.0,-54.0,50.0,760.0,C,True,2011-06-05T06:24:00-CME-001,2011-06-05T06:24Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2993/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T18:52Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2994/-1
2011-06-06T12:45Z,-45.0,101.0,35.0,750.0,C,True,2011-06-06T08:54:00-CME-001,2011-06-06T08:54Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/3000/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T19:01Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3001/-1
2011-06-07T09:02Z,-25.0,52.0,46.0,1400.0,O,True,2011-06-07T06:50:00-CME-001,2011-06-07T06:50Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/890/-1,M2M_CATALOG,null,0,null,null,,,,2013-07-19T14:31Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/891/-1
2011-06-07T22:08Z,15.0,158.0,60.0,1500.0,O,True,2011-06-07T19:10:00-CME-001,2011-06-07T19:10Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/901/-1,M2M_CATALOG,null,0,null,null,,,,2013-07-19T14:36Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/905/-1
2011-06-08T19:26Z,34.0,144.0,40.0,320.0,S,True,2011-06-08T18:00:00-CME-001,2011-06-08T18:00Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/3009/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T19:10Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3010/-1
2011-06-13T07:45Z,-15.0,-160.0,43.0,830.0,C,True,2011-06-13T04:40:00-CME-001,2011-06-13T04:40Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/909/-1,M2M_CATALOG,null,0,null,null,,,,2013-07-19T14:39Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/910/-1
2011-06-14T12:45Z,5.0,-45.0,43.0,830.0,C,True,2011-06-14T08:10:00-CME-001,2011-06-14T08:10Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/913/-1,M2M_CATALOG,null,0,null,null,,,,2013-07-19T14:42Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/914/-1
2011-06-19T22:38Z,-16.0,-50.0,24.0,583.0,C,True,2011-06-19T16:48:00-CME-001,2011-06-19T16:48Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/3032/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T19:27Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3033/-1
2011-06-21T00:30Z,10.0,-145.0,30.0,560.0,C,True,2011-06-20T18:00:00-CME-001,2011-06-20T18:00Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/3035/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T19:29Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3036/-1
2011-06-21T06:15Z,5.0,-7.0,40.0,1000.0,O,True,2011-06-21T03:09:00-CME-001,2011-06-21T03:09Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/916/-1,M2M_CATALOG,null,0,null,null,,,,2016-11-11T20:56Z,4,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3057/-1
2011-06-23T23:30Z,2.0,-40.0,35.0,350.0,S,True,2011-06-23T12:39:00-CME-001,2011-06-23T12:39Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/3053/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T19:43Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3054/-1
2011-06-29T09:19Z,42.0,-116.0,30.0,330.0,S,True,2011-06-28T18:09:00-CME-001,2011-06-28T18:09Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/3062/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T19:49Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3063/-1
2011-06-29T07:00Z,-20.0,60.0,25.0,490.0,S,True,2011-06-29T01:25:00-CME-001,2011-06-29T01:25Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/3065/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T19:53Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3066/-1
2011-07-09T04:40Z,-25.0,-30.0,33.0,850.0,C,True,2011-07-09T00:54:00-CME-001,2011-07-09T00:54Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/930/-1,M2M_CATALOG,null,0,null,null,,,,2013-07-19T14:53Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/934/-1
2011-07-09T20:27Z,20.0,112.0,24.0,838.0,C,True,2011-07-09T17:42:00-CME-001,2011-07-09T17:42Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/937/-1,M2M_CATALOG,null,0,null,null,,,,2013-07-19T14:56Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/938/-1
2011-07-22T01:18Z,-20.0,-131.0,26.0,608.0,C,True,2011-07-21T23:18:00-CME-001,2011-07-21T23:18Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2940/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T14:03Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2941/-1
2011-07-23T18:20Z,-4.0,-122.0,28.0,640.0,C,True,2011-07-23T12:48:00-CME-001,2011-07-23T12:48Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2944/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T14:05Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2945/-1
2011-07-25T04:40Z,45.0,50.0,32.0,320.0,S,True,2011-07-24T17:39:00-CME-001,2011-07-24T17:39Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2953/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T14:08Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2954/-1
2011-07-25T23:20Z,-8.0,170.0,43.0,660.0,C,True,2011-07-24T20:18:00-CME-001,2011-07-24T20:18Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2928/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T14:02Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2929/-1
2011-07-27T11:39Z,32.0,-33.0,39.0,616.0,C,True,2011-07-27T06:24:00-CME-001,2011-07-27T06:24Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2925/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T13:56Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2926/-1
2011-07-29T04:20Z,-29.0,150.0,34.0,440.0,S,True,2011-07-28T17:54:00-CME-001,2011-07-28T17:54Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2919/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T13:47Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2920/-1
2011-08-02T10:19Z,4.0,15.0,35.0,900.0,C,True,2011-08-02T06:40:00-CME-001,2011-08-02T06:40Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/25/-1,M2M_CATALOG,null,0,null,null,,,,2013-07-12T19:26Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/30/-1
2011-08-03T16:19Z,15.0,30.0,44.0,1320.0,O,True,2011-08-03T13:55:00-CME-001,2011-08-03T13:55Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/45/-1,M2M_CATALOG,null,0,null,null,,,,2013-07-15T14:00Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/47/-1
2011-08-04T05:45Z,14.0,40.0,60.0,1950.0,O,True,2011-08-04T04:10:00-CME-001,2011-08-04T04:10Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/58/-1,M2M_CATALOG,null,0,null,null,,,,2013-07-15T14:18Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/63/-1
2011-08-06T21:11Z,-15.0,60.0,32.0,430.0,S,True,2011-08-06T13:00:00-CME-001,2011-08-06T13:00Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2889/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T13:16Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2890/-1
2011-08-08T21:47Z,0.0,60.0,20.0,850.0,C,True,2011-08-08T18:00:00-CME-001,2011-08-08T18:00Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2892/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T13:18Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2893/-1
2011-08-09T11:09Z,-12.0,62.0,20.0,1175.0,O,True,2011-08-09T08:30:00-CME-001,2011-08-09T08:30Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2895/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T13:20Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2896/-1
2011-08-11T15:50Z,-3.0,77.0,40.0,600.0,C,True,2011-08-11T11:06:00-CME-001,2011-08-11T11:06Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2898/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T13:21Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2899/-1
2011-08-12T17:00Z,39.0,-30.0,35.0,410.0,S,True,2011-08-12T10:00:00-CME-001,2011-08-12T10:00Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2901/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T13:23Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2902/-1
2011-08-14T19:05Z,-15.0,168.0,18.0,300.0,S,True,2011-08-13T09:00:00-CME-001,2011-08-13T09:00Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2907/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T13:26Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2908/-1
2011-08-13T15:00Z,22.0,141.0,30.0,800.0,C,True,2011-08-13T10:36:00-CME-001,2011-08-13T10:36Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2904/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T13:24Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2905/-1
2011-08-16T12:12Z,24.0,143.0,30.0,992.0,C,True,2011-08-16T08:54:00-CME-001,2011-08-16T08:54Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2910/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T13:32Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2911/-1
2011-08-17T08:44Z,-25.0,-56.0,25.0,595.0,C,True,2011-08-17T03:24:00-CME-001,2011-08-17T03:24Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2913/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T13:34Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2914/-1
2011-08-17T11:11Z,0.0,0.0,40.0,1000.0,O,True,2011-08-17T04:39:00-CME-001,2011-08-17T04:39Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2916/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T13:36Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2917/-1
2011-09-01T15:50Z,20.0,64.0,15.0,260.0,S,True,2011-08-31T23:39:00-CME-001,2011-08-31T23:39Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2547/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-08T15:23Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2548/-1
2011-09-02T17:50Z,-18.0,-32.0,25.0,390.0,S,True,2011-09-02T06:30:00-CME-001,2011-09-02T06:30Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2589/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-08T15:31Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2590/-1
2011-09-04T00:00Z,16.0,150.0,30.0,360.0,S,True,2011-09-03T04:24:00-CME-001,2011-09-03T04:24Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2606/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-08T15:34Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2607/-1
2011-09-05T07:22Z,36.0,74.0,40.0,606.0,C,True,2011-09-05T02:00:00-CME-001,2011-09-05T02:00Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/1230/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-05T15:15Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/1231/-1
2011-09-06T15:00Z,24.0,15.0,25.0,300.0,S,True,2011-09-06T02:09:00-CME-001,2011-09-06T02:09Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2620/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-08T15:41Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2621/-1
2011-09-06T10:44Z,30.0,100.0,25.0,670.0,C,True,2011-09-06T05:54:00-CME-001,2011-09-06T05:54Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/2622/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-08T15:41Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/2623/-1
2011-09-07T03:50Z,20.0,20.0,30.0,650.0,C,True,2011-09-06T22:40:00-CME-001,2011-09-06T22:40Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/1233/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-05T15:24Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/1234/-1
2011-09-07T23:48Z,16.0,-148.0,45.0,632.0,C,True,2011-09-07T19:00:00-CME-001,2011-09-07T19:00Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/1239/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-05T15:42Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/1240/-1
2011-09-08T01:32Z,43.0,120.0,23.0,621.0,C,True,2011-09-07T20:12:00-CME-001,2011-09-07T20:12Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/1241/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-05T15:42Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/1242/-1
2011-09-08T04:00Z,28.0,40.0,33.0,750.0,C,True,2011-09-07T23:24:00-CME-001,2011-09-07T23:24Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/421/-1,M2M_CATALOG,null,0,null,null,,,,2013-07-17T13:12Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/425/-1
